geo_code,adaptation_gap_rank,story_label,story_priority,pressure_capacity_typology,exemplar_flag,reason_label,pressure_capacity_summary,included_indicator_count,pressure_signal_count,capacity_signal_count,evidence_density_label,top_pressure_signals,top_capacity_signals,data_desert_flag,monitoring_missing,coverage_flag,robustness_label,rank_range,fragility_caveat,non_causal_caveat
PN,1,High gap: moderate pressure / low capacity,primary,moderate pressure / low capacity,True,low visible capacity,Pressure 53.4 vs capacity 10.1 (difference +43.3).,4,2,2,thin indicator evidence,Mean surface temperature anomalies (56.8); Rainfall anomalies (50.0),Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (9.1); Meteorological monitoring network (11.1),True,False,data_desert,sensitive,2,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
NR,2,High gap: moderate pressure / low capacity,primary,moderate pressure / low capacity,True,low visible capacity,Pressure 61.6 vs capacity 26.9 (difference +34.6).,9,5,3,broad indicator evidence,Rainfall anomalies (100.0); Number of directly affected persons attributed to disasters (81.0),Meteorological monitoring network (11.1); Power generation (33.3),False,False,complete_dataset_coverage,fragile,6,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
AS,3,High gap: moderate pressure / low capacity,primary,moderate pressure / low capacity,True,low visible capacity,Pressure 49.7 vs capacity 18.2 (difference +31.5).,7,5,1,moderate indicator evidence,Rainfall anomalies (68.2); Number of directly affected persons attributed to disasters (52.4),Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (18.2),False,True,partial_dataset_coverage,fragile,6,"Small sample stress test; at least one leave-one-indicator scenario becomes insufficient, so rank movement frames uncertainty rather than a definitive ranking.",Descriptive screen only; labels summarize available indicators and are not causal claims.
WF,4,High gap: moderate pressure / low capacity,primary,moderate pressure / low capacity,True,low visible capacity,Pressure 34.1 vs capacity 4.5 (difference +29.6).,6,5,1,moderate indicator evidence,Rainfall anomalies (77.3); Sea level anomalies (50.0),Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (4.5),False,True,partial_dataset_coverage,fragile,10,"Small sample stress test; at least one leave-one-indicator scenario becomes insufficient, so rank movement frames uncertainty rather than a definitive ranking.",Descriptive screen only; labels summarize available indicators and are not causal claims.
TV,5,High gap: high pressure / moderate capacity,primary,high pressure / moderate capacity,True,high pressure,Pressure 66.5 vs capacity 40.7 (difference +25.8).,9,5,3,broad indicator evidence,Rainfall anomalies (86.4); Number of directly affected persons attributed to disasters (85.7),Power generation (16.7); Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (50.0),False,False,complete_dataset_coverage,fragile,7,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
MH,6,Mixed gap: high pressure / moderate capacity,secondary,high pressure / moderate capacity,False,high pressure,Pressure 67.1 vs capacity 50.5 (difference +16.6).,9,5,3,broad indicator evidence,Number of directly affected persons attributed to disasters (100.0); Mean sea surface temperature anomalies (52.4),Meteorological monitoring network (38.9); Power generation (44.4),False,False,complete_dataset_coverage,fragile,15,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
NU,7,Mixed gap: low pressure / low capacity,secondary,low pressure / low capacity,False,low visible capacity,Pressure 32.4 vs capacity 18.0 (difference +14.4).,8,5,3,broad indicator evidence,Rainfall anomalies (63.6); Sea level anomalies (50.0),Meteorological monitoring network (11.1); Power generation (11.1),False,False,partial_dataset_coverage,fragile,9,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
PW,8,Mixed gap: moderate pressure / moderate capacity,secondary,moderate pressure / moderate capacity,False,mixed signals,Pressure 65.0 vs capacity 51.0 (difference +14.0).,9,5,3,broad indicator evidence,Mean sea surface temperature anomalies (85.7); Mean surface temperature anomalies (81.8),Meteorological monitoring network (25.0); Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (61.4),False,False,complete_dataset_coverage,fragile,8,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
FM,9,Mixed gap: high pressure / moderate capacity,secondary,high pressure / moderate capacity,False,high pressure,Pressure 76.4 vs capacity 65.8 (difference +10.6).,9,5,3,broad indicator evidence,Number of directly affected persons attributed to disasters (90.5); Mean sea surface temperature anomalies (85.7),Meteorological monitoring network (55.6); Power generation (55.6),False,False,complete_dataset_coverage,fragile,7,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
SB,10,Mixed gap: high pressure / high capacity,secondary,high pressure / high capacity,False,high pressure,Pressure 81.1 vs capacity 70.7 (difference +10.4).,9,5,3,broad indicator evidence,Mean surface temperature anomalies (95.5); Number of directly affected persons attributed to disasters (95.2),Meteorological monitoring network (55.6); Power generation (61.1),False,False,complete_dataset_coverage,fragile,13,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
